0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78875,0.5575,0.82,0.51125,0.62375,0.59,0.65,0.6025,0.80625,0.7025
