1,2,3,4,5,6,7,8,9,10
320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320000.0
0.475,0.17,0.405,0.2675,0.29125,0.19875,0.32,0.31375,0.3575,0.27625
