params,mean_test_score,std_test_score,dataset,norm_type,colour,classifier
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.2249648805940196,0.0156403514095113,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 8, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.17559109160237252})",0.1862331928557094,0.0186299786719248,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.1236203090507726,0.0203294260680378,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.116596427854706,0.0102328306514003,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.1057595825807746,0.0432590279952071,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.0874974914710014,0.0082450887353699,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.0872968091511137,0.0244750169591196,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.1, 'optim__momentum': 0.8181880086658311})",0.0535821794099939,0.00306984919542,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 2, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.0001, 'optim__momentum': 0.0473330462190279})",0.0467589805338149,0.0060070758768194,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 26, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.026291774205649474, 'optim__momentum': 0.4946243104407982})",0.222155328115593,0.0140506289899372,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.2197471402769416,0.0037112667085905,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.211117800521774,0.0091216682138177,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 28, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.002034829077088053, 'optim__momentum': 0.7581699110942843})",0.2028898254063817,0.0165170205446937,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.1882400160545856,0.0042947891950697,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 17, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0028567368937898845, 'optim__momentum': 0.5045828213771798})",0.1868352398153722,0.0103851888685013,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.1673690547862733,0.0102995203053231,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.1589403973509933,0.0166916546914937,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.1228175797712221,0.0081220575335533,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.1141882400160545,0.007246827246746,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 2, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.050515040898667804, 'optim__momentum': 0.004632028008563881})",0.1091711820188641,0.0189131774486589,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.0969295605057194,0.0093656527309476,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.0828817981135861,0.0230636289762129,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.0782661047561709,0.007567612937975,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 2, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.012635570276449671, 'optim__momentum': 0.99})",0.063014248444712,0.0037544224230121,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.04595264038071423, 'optim__momentum': 0.7212962800304089})",0.0535821794099939,0.0022526534538073,mammals,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.6451958107778205,0.0360041520678051,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 16, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.010242298095032909, 'optim__momentum': 0.6498876511658572})",0.630399130257982,0.0105012050652787,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.010943665234041038, 'optim__momentum': 0.4162544283294023})",0.6139988088816811,0.0193218084634757,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.8459788821697517})",0.6132029296421627,0.0114575496030003,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.6017917664966407,0.0311260924978047,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.01890792285841193, 'optim__momentum': 0.03579348201937179})",0.5963977672652744,0.0283068576341809,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.5882148900351982,0.0688206969187144,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.583181442943104,0.0688322683048967,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.5781897642080227,0.0370804104529623,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.5773944850885765,0.01953656828335,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.5620213292275519,0.0799140757153588,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.4974006399200352,0.0060700929524122,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.011397773999040463, 'optim__momentum': 0.99})",0.4846011589998927,0.008843440550022,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.4708006777996141,0.0096097871129254,stl10,32,rgb,split_cnn
