params,mean_test_score,std_test_score,dataset,norm_type,colour,classifier
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0015465234121829952, 'optim__momentum': 0.7273609012838328})",0.45835841862331933,0.024451969248523928,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.4573550070238812,0.013483104180004677,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.44651816174994985,0.011531814488106478,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.4415011037527594,0.02406347547561483,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.0})",0.4340758579169175,0.01882780947755798,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0001, 'optim__momentum': 0.0})",0.4174192253662452,0.012821700056161572,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.4081878386514148,0.03736896635920803,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.4023680513746739,0.011677572968875099,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.4013646397752358,0.001501768969204874,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.399157134256472,0.043179821979629406,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.3794902669074855,0.014790709028848709,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.37627934978928357,0.00177237825934736,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.3441701786072647,0.012262987049931503,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.342966084687939,0.008659622320044698,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.2801525185631146,0.0076838008103859755,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 2, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.006344692022365831, 'optim__momentum': 0.99})",0.22677102147300823,0.004567452007521991,mammals,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.256271322496488,0.0153439974743048,mammals,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.2550672285771623,0.0143848773328977,mammals,32,rgb,classic_cnn
