accuracy,batch_loss
0.323625,626.6474130153656
0.374875,527.6106599569321
0.431625,459.20983415842056
0.45325,397.59058421850204
0.48075,333.3572637438774
0.484625,258.01436376571655
0.483125,173.32363557070494
0.491375,126.93854659050703
0.486,83.03040213417262
0.472875,63.13964885100722
0.441,67.79515138210263
0.48425,51.89346761908382
0.46175,36.494351838045986
0.478625,20.48585686722072
0.498375,2.2425891454404336
0.5095,0.5143963171767609
0.50925,0.19454830763720565
0.50875,0.09186593218342409
0.50925,0.07023489730931942
0.50875,0.05751444605471079
0.508375,0.04879823459111776
0.50825,0.042461310985345335
0.50875,0.03754590873495545
