5.740000000000000000e+02,4.000000000000000000e+01,1.400000000000000000e+01,1.600000000000000000e+01,1.300000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,7.500000000000000000e+01,4.700000000000000000e+01
3.600000000000000000e+01,2.980000000000000000e+02,1.100000000000000000e+01,1.160000000000000000e+02,8.900000000000000000e+01,9.600000000000000000e+01,3.700000000000000000e+01,8.600000000000000000e+01,2.100000000000000000e+01,1.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+01,5.780000000000000000e+02,2.700000000000000000e+01,1.000000000000000000e+01,1.400000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+01,3.100000000000000000e+01,9.800000000000000000e+01
9.000000000000000000e+00,5.300000000000000000e+01,7.000000000000000000e+00,2.710000000000000000e+02,1.170000000000000000e+02,1.210000000000000000e+02,4.700000000000000000e+01,1.340000000000000000e+02,1.600000000000000000e+01,2.500000000000000000e+01
1.000000000000000000e+01,3.200000000000000000e+01,2.000000000000000000e+00,8.500000000000000000e+01,3.800000000000000000e+02,8.400000000000000000e+01,1.030000000000000000e+02,9.100000000000000000e+01,4.000000000000000000e+00,9.000000000000000000e+00
5.000000000000000000e+00,8.400000000000000000e+01,4.000000000000000000e+00,1.340000000000000000e+02,1.040000000000000000e+02,2.150000000000000000e+02,1.060000000000000000e+02,1.280000000000000000e+02,6.000000000000000000e+00,1.400000000000000000e+01
5.000000000000000000e+00,3.200000000000000000e+01,7.000000000000000000e+00,6.300000000000000000e+01,9.300000000000000000e+01,1.170000000000000000e+02,3.780000000000000000e+02,8.300000000000000000e+01,4.000000000000000000e+00,1.800000000000000000e+01
4.000000000000000000e+00,6.700000000000000000e+01,7.000000000000000000e+00,1.120000000000000000e+02,8.200000000000000000e+01,1.090000000000000000e+02,7.000000000000000000e+01,3.340000000000000000e+02,6.000000000000000000e+00,9.000000000000000000e+00
6.900000000000000000e+01,1.200000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,5.740000000000000000e+02,8.000000000000000000e+01
1.800000000000000000e+01,2.000000000000000000e+01,1.160000000000000000e+02,2.200000000000000000e+01,8.000000000000000000e+00,1.700000000000000000e+01,9.000000000000000000e+00,2.200000000000000000e+01,1.000000000000000000e+02,4.680000000000000000e+02
